time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-04 00:00:00+00:00,,,4,3
2025-11-05 00:00:00+00:00,,,1,1
2025-11-06 00:00:00+00:00,,,7,1
2025-11-07 00:00:00+00:00,1.0,1.0,1,1
2025-11-08 00:00:00+00:00,,,1,1
2025-11-09 00:00:00+00:00,,,1,1
2025-11-10 00:00:00+00:00,,,1,1
2025-11-11 00:00:00+00:00,2.0,2.0,13,1
2025-11-12 00:00:00+00:00,2.0,2.0,9,4
2025-11-13 00:00:00+00:00,,,3,3
2025-11-14 00:00:00+00:00,,,6,4
2025-11-16 00:00:00+00:00,,,2,2
2025-11-17 00:00:00+00:00,,,3,1
