time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-02 00:00:00+00:00,1,1,0,0
2026-09-03 00:00:00+00:00,4,4,1,1
2026-09-04 00:00:00+00:00,0,0,0,0
2026-09-05 00:00:00+00:00,3,2,2,2
2026-09-06 00:00:00+00:00,8,6,0,0
2026-09-07 00:00:00+00:00,5,5,2,1
2026-09-08 00:00:00+00:00,4,4,0,0
2026-09-09 00:00:00+00:00,4,2,0,0
2026-09-10 00:00:00+00:00,4,4,1,1
2026-09-11 00:00:00+00:00,111,26,5,3
2026-09-12 00:00:00+00:00,22,6,1,1
2026-09-13 00:00:00+00:00,15,8,0,0
2026-09-14 00:00:00+00:00,3,3,2,2
2026-09-15 00:00:00+00:00,5,4,0,0
