time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-02 00:00:00+00:00,1.0,1.0,1,1
2024-03-03 00:00:00+00:00,,,1,1
2024-03-04 00:00:00+00:00,,,2,1
2024-03-05 00:00:00+00:00,,,4,2
2024-03-07 00:00:00+00:00,,,1,1
2024-03-08 00:00:00+00:00,,,7,1
2024-03-09 00:00:00+00:00,2.0,2.0,1,1
2024-03-10 00:00:00+00:00,1.0,1.0,1,1
2024-03-11 00:00:00+00:00,,,1,1
2024-03-12 00:00:00+00:00,2.0,1.0,1,1
2024-03-13 00:00:00+00:00,,,1,1
2024-03-14 00:00:00+00:00,,,1,1
2024-03-15 00:00:00+00:00,7.0,3.0,72,6
