time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-25 00:00:00+00:00,1.0,1.0,3,2
2025-10-26 00:00:00+00:00,1.0,1.0,2,2
2025-10-27 00:00:00+00:00,,,10,2
2025-10-28 00:00:00+00:00,,,5,2
2025-10-29 00:00:00+00:00,,,1,1
2025-10-30 00:00:00+00:00,2.0,1.0,2,2
2025-10-31 00:00:00+00:00,,,4,2
2025-11-01 00:00:00+00:00,,,1,1
2025-11-02 00:00:00+00:00,,,1,1
2025-11-03 00:00:00+00:00,,,3,2
2025-11-04 00:00:00+00:00,,,4,3
2025-11-05 00:00:00+00:00,,,1,1
2025-11-06 00:00:00+00:00,,,7,1
